scalerank,featurecla,labelrank,sovereignt,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,income_grp,wikipedia,adm0_a3_is,adm0_a3_us,continent,region_un
1,Admin-0 country,3,Angola,AGO,0,2,Sovereign country,Angola,AGO,0,Angola,AGO,0,Angola,AGO,0,Angola,Angola,AGO,Angola,,Ang.,AO,People's Republic of Angola,,,,Angola,3. Upper middle income,,AGO,AGO,Africa,Africa
1,Admin-0 country,6,Burundi,BDI,0,2,Sovereign country,Burundi,BDI,0,Burundi,BDI,0,Burundi,BDI,0,Burundi,Burundi,BDI,Burundi,,Bur.,BI,Republic of Burundi,,,,Burundi,5. Low income,,BDI,BDI,Africa,Africa
1,Admin-0 country,5,Benin,BEN,0,2,Sovereign country,Benin,BEN,0,Benin,BEN,0,Benin,BEN,0,Benin,Benin,BEN,Benin,,Benin,BJ,Republic of Benin,,,,Benin,5. Low income,,BEN,BEN,Africa,Africa
1,Admin-0 country,3,Burkina Faso,BFA,0,2,Sovereign country,Burkina Faso,BFA,0,Burkina Faso,BFA,0,Burkina Faso,BFA,0,Burkina Faso,Burkina Faso,BFA,Burkina Faso,,B.F.,BF,Burkina Faso,,,,Burkina Faso,5. Low income,,BFA,BFA,Africa,Africa
1,Admin-0 country,4,Botswana,BWA,0,2,Sovereign country,Botswana,BWA,0,Botswana,BWA,0,Botswana,BWA,0,Botswana,Botswana,BWA,Botswana,,Bwa.,BW,Republic of Botswana,,,,Botswana,3. Upper middle income,,BWA,BWA,Africa,Africa
1,Admin-0 country,4,Central African Republic,CAF,0,2,Sovereign country,Central African Republic,CAF,0,Central African Republic,CAF,0,Central African Republic,CAF,0,Central African Rep.,Central African Republic,CAF,Central African Rep.,,C.A.R.,CF,Central African Republic,,,,Central African Republic,5. Low income,,CAF,CAF,Africa,Africa
1,Admin-0 country,3,Ivory Coast,CIV,0,2,Sovereign country,Ivory Coast,CIV,0,Ivory Coast,CIV,0,Ivory Coast,CIV,0,Côte d'Ivoire,Côte d'Ivoire,CIV,Côte d'Ivoire,,I.C.,CI,Republic of Ivory Coast,Republic of Cote D'Ivoire,,,Côte d'Ivoire,4. Lower middle income,,CIV,CIV,Africa,Africa
1,Admin-0 country,3,Cameroon,CMR,0,2,Sovereign country,Cameroon,CMR,0,Cameroon,CMR,0,Cameroon,CMR,0,Cameroon,Cameroon,CMR,Cameroon,,Cam.,CM,Republic of Cameroon,,,,Cameroon,4. Lower middle income,,CMR,CMR,Africa,Africa
1,Admin-0 country,2,Democratic Republic of the Congo,COD,0,2,Sovereign country,Democratic Republic of the Congo,COD,0,Democratic Republic of the Congo,COD,0,Democratic Republic of the Congo,COD,0,Dem. Rep. Congo,Democratic Republic of the Congo,COD,Democratic Republic of the Congo,,D.R.C.,DRC,Democratic Republic of the Congo,,,,"Congo, Dem. Rep.",5. Low income,,COD,COD,Africa,Africa
1,Admin-0 country,4,Republic of Congo,COG,0,2,Sovereign country,Republic of Congo,COG,0,Republic of Congo,COG,0,Republic of Congo,COG,0,Congo,Republic of Congo,COG,Republic of Congo,,Rep. Congo,CG,Republic of Congo,,,,"Congo, Rep.",4. Lower middle income,,COG,COG,Africa,Africa
